filename,plate,view,illumination,glare,blur,low_contrast,follows_protocol,notes
1430JMK.jpg,1430JMK,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
1484LRT.jpg,1484LRT,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
1553MVV.jpg,1553MVV,Frontal,sunlight,no,no,no,no,matricula trasera
1585LLD.jpg,1585LLD,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
1690LPD.jpg,1690LPD,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
1831FBZ.jpg,1831FBZ,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
1885GBV.jpg,1885GBV,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
2164HPT.jpg,2164HPT,Frontal,shadow,no,no,no,yes,
2177JSZ.jpg,2177JSZ,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
2235LSY.jpg,2235LSY,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
2268KCB.jpg,2268KCB,Frontal,sunlight,no,no,no,no,sombra moteada en el capo
2299KYH.jpg,2299KYH,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
2302NJV.jpg,2302NJV,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
2408MZZ.jpg,2408MZZ,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
2440JVJ.jpg,2440JVJ,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
2469GGD.jpg,2469GGD,Frontal,artificial,no,no,no,yes,"garaje, luz artificial"
2470JWG.jpg,2470JWG,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
2488GLC.jpg,2488GLC,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
2562JPC.jpg,2562JPC,Frontal,sunlight,no,no,no,no,
2615KFS.jpg,2615KFS,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
2671DVF.jpg,2671DVF,Frontal,shadow,no,no,no,yes,sombra moteada
3004KVC.jpg,3004KVC,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
3014HHC.jpg,3014HHC,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
3120KRV.jpg,3120KRV,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
3161FFN.jpg,3161FFN,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
3333LGP.jpg,3333LGP,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
3580KGC.jpg,3580KGC,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
3723DBL.jpg,3723DBL,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
3922CDX.jpg,3922CDX,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
3964KKK.jpg,3964KKK,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
3987KFV.jpg,3987KFV,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
4189JPV.jpg,4189JPV,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
4196GPZ.jpg,4196GPZ,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
4201MSC.jpg,4201MSC,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
4364LRV.jpg,4364LRV,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
4562JRS.jpg,4562JRS,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
4618JGP.jpg,4618JGP,Frontal,sunlight,no,no,no,no,
4781GTW.jpg,4781GTW,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
4872NDG.jpg,4872NDG,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
4896JBY.jpg,4896JBY,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
4937LHP.jpg,4937LHP,Frontal,sunlight,no,no,yes,no,carroceria oscura al sol
4970MMG.jpg,4970MMG,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
5444DNH.jpg,5444DNH,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
5498HTB.jpg,5498HTB,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
5593FYN.jpg,5593FYN,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
5748FZB.jpg,5748FZB,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
5891DPW.jpg,5891DPW,Frontal,sunlight,yes,no,no,no,parasol reflectante en parabrisas
5929JWN.jpg,5929JWN,Frontal,sunlight,no,no,no,no,
5995NMN.jpg,5995NMN,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
6043NBC.jpg,6043NBC,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
6158CCG.jpg,6158CCG,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
6165NRR.jpg,6165NRR,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
6417NLL.jpg,6417NLL,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
6432LSH.jpg,6432LSH,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
6641MGK.jpg,6641MGK,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
6692NPV.jpg,6692NPV,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
6705LKY.jpg,6705LKY,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
6766KBP.jpg,6766KBP,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
6922LWF.jpg,6922LWF,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
6997MKB.jpg,6997MKB,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
7157DPS.jpg,7157DPS,Frontal,shadow,no,no,no,yes,sombra moteada
7166HPC.jpg,7166HPC,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
7244MYC.jpg,7244MYC,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
7248MFV.jpg,7248MFV,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
7556BYD.jpg,7556BYD,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
7579JGS.jpg,7579JGS,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
7708GPJ.jpg,7708GPJ,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
7862NLL.jpg,7862NLL,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
7978GMM.jpg,7978GMM,Frontal,sunlight,no,no,no,no,
8031KLV.jpg,8031KLV,Frontal,sunlight,no,no,no,no,
8155MGL.jpg,8155MGL,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
8160KKR.jpg,8160KKR,Frontal,sunlight,no,no,no,no,matricula trasera
8404KDR.jpg,8404KDR,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
8471DWS.jpg,8471DWS,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
8496JSL.jpg,8496JSL,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
8598MMX.jpg,8598MMX,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
8650MYK.jpg,8650MYK,Frontal,shadow,no,no,no,yes,sombra moteada
9129LJY.jpg,9129LJY,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
9418JTP.jpg,9418JTP,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
9803LFL.jpg,9803LFL,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
9830HKM.jpg,9830HKM,Frontal,sunlight,no,no,no,no,
9872JZY.jpg,9872JZY,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
9890MXS.jpg,9890MXS,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
9935FZK.jpg,9935FZK,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado; correccion de lectura"
9935GTC.jpg,9935GTC,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
0009NFF.jpg,0009NFF,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
0594GMB.jpg,0594GMB,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
0972NBW.jpg,0972NBW,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
1576MWT.jpg,1576MWT,Lateral,shadow,no,no,yes,no,carroceria oscura en sombra
1581KDH.jpg,1581KDH,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
1607JBV.jpg,1607JBV,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
1701KTR.jpg,1701KTR,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
2490GXM.jpg,2490GXM,Lateral,sunlight,no,no,no,no,
2693HYJ.jpg,2693HYJ,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
2785HJB.jpg,2785HJB,Lateral,shadow,no,no,no,yes,
3243HVX.jpg,3243HVX,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
3600FYV.jpg,3600FYV,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
3755JCD.jpg,3755JCD,Lateral,sunlight,no,no,no,no,matricula trasera escorada
3758MFC.jpg,3758MFC,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
4031MLP.jpg,4031MLP,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
4322DXS.jpg,4322DXS,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
4326FGC.jpg,4326FGC,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado; correccion de lectura"
4579NKF.jpg,4579NKF,Lateral,shadow,no,no,no,no,sombra moteada de arbol
5241DGG.jpg,5241DGG,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
6548GSV.jpg,6548GSV,Lateral,sunlight,no,no,no,no,paragolpes danado
6636JCK.jpg,6636JCK,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
6703GLW.jpg,6703GLW,Lateral,sunlight,no,no,no,no,sol y sombra de arbol
7410MHJ.jpg,7410MHJ,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
7784JGC.jpg,7784JGC,Lateral,sunlight,yes,no,yes,no,carroceria negra a contraluz
7969KWT.jpg,7969KWT,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
7975LPW.jpg,7975LPW,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
8222BLZ.jpg,8222BLZ,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado; era espanola moderna, mal leida como formato antiguo"
8709JKP.jpg,8709JKP,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
9080CWT.jpg,9080CWT,Lateral,sunlight,no,no,no,no,sombras duras
9165MGM.jpg,9165MGM,Lateral,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
ANDJ2891.jpg,AND J2891,OtrosFormatos,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado; formato no espanol moderno"
B2048UJ.jpg,B2048UJ,OtrosFormatos,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado; formato no espanol moderno"
BN03XGU.jpg,BN03XGU,OtrosFormatos,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado; formato no espanol moderno"
DS409CL.jpg,DS409CL,OtrosFormatos,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado; formato no espanol moderno"
FF995RY.jpg,FF995RY,OtrosFormatos,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado; formato no espanol moderno"
8430GGG.jpg,8430GGG,Frontal,artificial,no,yes,yes,yes,parking cubierto; carroceria negra
6165FCV.jpg,6165FCV,Lateral,artificial,no,no,yes,yes,parking cubierto; carroceria negra
4561BTD.jpg,4561BTD,Lateral,artificial,no,yes,no,yes,parking cubierto; matricula trasera
4987NJG.jpg,4987NJG,Frontal,artificial,no,yes,no,yes,parking cubierto; matricula trasera
6876MGN.jpg,6876MGN,Lateral,artificial,no,no,no,yes,parking cubierto
8035LKT.jpg,8035LKT,Frontal,night,no,no,no,no,calle de noche
3366JWC.jpg,3366JWC,Frontal,night,no,yes,no,no,calle de noche; matricula trasera
2301JTC.jpg,2301JTC,Frontal,night,no,no,no,no,calle de noche
2677LSJ.jpg,2677LSJ,Frontal,night,no,yes,no,no,calle de noche
4043MHZ.jpg,4043MHZ,Lateral,night,no,yes,yes,no,"calle de noche; matricula trasera, coche negro"
5209KNW.jpg,5209KNW,Frontal,night,no,yes,no,no,calle de noche
8071LTH.jpg,8071LTH,Frontal,night,no,yes,yes,no,"calle de noche; matricula trasera, coche oscuro"
5891DPW_2.jpg,5891DPW,Frontal,night,no,no,no,no,MISMO COCHE que 5891DPW de dia: comparacion controlada dia/noche
3053JXD.jpg,3053JXD,Lateral,night,no,yes,no,no,calle de noche; matricula trasera
4912KGF.jpg,4912KGF,Lateral,night,no,no,no,no,calle de noche; matricula trasera
9653GPM.jpg,9653GPM,Frontal,night,no,yes,no,no,calle de noche; MATRICULA CUADRADA DE 2 LINEAS; matricula trasera
8950FMW.jpg,8950FMW,Lateral,night,no,no,no,no,calle de noche
9126CPG.jpg,9126CPG,Lateral,night,no,no,no,no,calle de noche
8758JFX.jpg,8758JFX,Lateral,night,no,no,no,no,"calle de noche; MOTO, MATRICULA CUADRADA DE 2 LINEAS"
