stem,split,status,when
n_F_4896JBY,train,drawn,2026-09-18T19:52:06
n_F_4937LHP,val,drawn,2026-09-18T19:55:07
n_F_4970MMG,train,quad,2026-09-18T20:11:47
n_F_4987NJG,val,confirmed,2026-09-19T19:36:14
n_F_5209KNW,train,confirmed,2026-09-19T19:36:17
n_F_5444DNH,train,quad,2026-09-18T20:19:18
n_F_5498HTB,train,quad,2026-09-18T20:22:32
n_F_5593FYN,train,approved,2026-09-18T20:29:25
n_F_5748FZB,train,quad,2026-09-18T20:11:55
n_F_5891DPW,train,approved,2026-09-18T20:29:26
n_F_5891DPW_2,train,confirmed,2026-09-19T19:36:21
n_F_5929JWN,train,approved,2026-09-18T20:29:28
n_F_5995NMN,val,approved,2026-09-18T20:29:14
n_F_6043NBC,val,quad,2026-09-18T20:25:33
n_F_6158CCG,train,drawn,2026-09-18T19:52:21
n_F_6165NRR,train,approved,2026-09-18T20:28:54
n_F_6417NLL,train,quad,2026-09-18T20:26:02
n_F_6432LSH,train,approved,2026-09-18T20:29:27
n_F_6641MGK,val,quad,2026-09-18T20:21:02
n_F_6692NPV,train,approved,2026-09-18T20:28:53
n_F_6705LKY,train,quad,2026-09-18T20:23:22
n_F_6766KBP,train,approved,2026-09-18T20:29:09
n_F_6922LWF,train,drawn,2026-09-18T19:52:24
n_F_6997MKB,train,quad,2026-09-18T20:22:56
n_F_7157DPS,val,approved,2026-09-18T20:29:30
n_F_7166HPC,train,approved,2026-09-18T20:29:01
n_F_7244MYC,val,approved,2026-09-18T20:29:23
n_F_7248MFV,train,quad,2026-09-18T20:19:43
n_F_7556BYD,val,drawn,2026-09-18T19:55:11
n_F_7579JGS,train,drawn,2026-09-18T19:52:28
n_F_7708GPJ,train,drawn,2026-09-18T19:52:32
n_F_7862NLL,train,quad,2026-09-18T20:23:50
n_F_7978GMM,train,quad,2026-09-18T20:19:12
n_F_8031KLV,train,approved,2026-09-18T20:29:00
n_F_8035LKT,train,confirmed,2026-09-19T19:36:50
n_F_8071LTH,val,confirmed,2026-09-19T19:36:52
n_F_8155MGL,train,quad,2026-09-18T20:19:53
n_F_8160KKR,train,confirmed,2026-09-19T19:36:54
n_F_8404KDR,train,drawn,2026-09-18T19:52:36
n_F_8430GGG,train,confirmed,2026-09-19T19:36:56
n_F_8471DWS,train,quad,2026-09-18T20:19:05
n_F_8496JSL,train,drawn,2026-09-18T20:04:23
n_F_8598MMX,train,approved,2026-09-18T20:29:07
n_F_8650MYK,train,quad,2026-09-18T20:10:45
n_F_9129LJY,train,quad,2026-09-18T20:26:25
n_F_9418JTP,train,drawn,2026-09-18T19:53:01
n_F_9653GPM,train,confirmed,2026-09-19T19:37:17
n_F_9803LFL,train,quad,2026-09-18T20:17:05
n_F_9830HKM,train,approved,2026-09-18T20:29:27
n_F_9872JZY,train,approved,2026-09-18T20:29:21
n_F_9890MXS,train,quad,2026-09-18T20:12:02
n_F_9935FZK,train,drawn,2026-09-18T19:53:08
n_F_9935GTC,train,approved,2026-09-18T20:29:06
n_L_0009NFF,val,quad,2026-09-18T20:04:51
n_L_0594GMB,val,quad,2026-09-18T20:25:45
n_L_0972NBW,train,quad,2026-09-18T20:13:11
n_L_1576MWT,train,quad,2026-09-18T20:25:40
n_L_1581KDH,train,quad,2026-09-18T20:09:01
n_L_1607JBV,train,drawn,2026-09-18T19:53:20
n_L_1701KTR,train,drawn,2026-09-18T19:53:24
n_L_2490GXM,train,quad,2026-09-18T20:16:56
n_L_2693HYJ,train,approved,2026-09-18T20:29:14
n_L_2785HJB,train,quad,2026-09-18T20:17:13
n_L_3053JXD,train,confirmed,2026-09-19T19:36:03
n_L_3243HVX,train,quad,2026-09-18T20:11:30
n_L_3600FYV,train,quad,2026-09-18T20:09:50
n_L_3755JCD,train,approved,2026-09-18T20:29:00
n_L_3758MFC,train,quad,2026-09-18T20:09:17
n_L_4031MLP,train,quad,2026-09-18T20:27:02
n_L_4043MHZ,train,confirmed,2026-09-19T19:36:07
n_L_4322DXS,train,drawn,2026-09-18T19:53:39
n_L_4326FGC,val,drawn,2026-09-18T19:55:19
n_L_4561BTD,train,confirmed,2026-09-19T19:36:09
n_L_4579NKF,train,quad,2026-09-18T20:16:48
n_L_4912KGF,val,confirmed,2026-09-19T19:36:13
n_L_5241DGG,train,quad,2026-09-18T20:17:57
n_L_6165FCV,train,confirmed,2026-09-19T19:36:41
n_L_6548GSV,train,quad,2026-09-18T20:11:24
n_L_6636JCK,train,quad,2026-09-18T20:10:11
n_L_6703GLW,val,quad,2026-09-18T20:17:36
n_L_6876MGN,val,confirmed,2026-09-19T19:36:49
n_L_7410MHJ,train,drawn,2026-09-18T19:53:54
n_L_7784JGC,val,quad,2026-09-18T20:18:51
n_L_7969KWT,train,approved,2026-09-18T20:29:19
n_L_7975LPW,train,drawn,2026-09-18T19:53:58
n_L_8222BLZ,val,quad,2026-09-18T20:05:08
n_L_8709JKP,train,quad,2026-09-18T20:12:48
n_L_8758JFX,train,confirmed,2026-09-19T19:36:58
n_L_8950FMW,train,confirmed,2026-09-19T19:37:10
n_L_9080CWT,train,quad,2026-09-18T20:10:26
n_L_9126CPG,train,confirmed,2026-09-19T19:37:13
n_L_9165MGM,train,approved,2026-09-18T20:29:18
r_F_0216KZP,train,quad,2026-09-18T20:25:26
r_F_1062FNT,train,approved,2026-09-18T20:29:22
r_F_1565HTS,train,approved,2026-09-18T20:29:26
r_F_2153GYX,val,approved,2026-09-18T20:29:10
r_F_2929KXJ,train,approved,2026-09-18T20:29:30
r_F_3340JMF,train,quad,2026-09-18T20:26:47
r_F_3587DCX,train,approved,2026-09-18T20:29:30
r_F_3838JZH,train,approved,2026-09-18T20:29:20
r_F_4674FHC,train,approved,2026-09-18T20:29:27
r_F_5275HGY,train,approved,2026-09-18T20:29:29
r_F_5488LKV,train,approved,2026-09-18T20:29:25
r_F_5796DKP,train,approved,2026-09-18T20:29:28
r_F_6499KYF,train,quad,2026-09-18T20:26:38
r_F_7067KSH,train,approved,2026-09-18T20:29:28
r_F_7153JWD,val,approved,2026-09-18T20:29:29
r_F_8727JTC,val,drawn,2026-09-18T19:55:26
r_F_9247CZG,train,drawn,2026-09-18T19:54:12
r_F_9296FJB,val,quad,2026-09-18T20:26:32
r_F_9892JFR,train,approved,2026-09-18T20:29:29
r_L_0182GLK,train,quad,2026-09-18T20:23:16
r_L_0292LKY,train,approved,2026-09-18T20:29:05
r_L_0664JGR,train,quad,2026-09-18T20:21:20
r_L_0729HHG,train,approved,2026-09-18T20:28:58
r_L_0804FTB,train,quad,2026-09-18T20:10:37
r_L_0907JRF,train,confirmed,2026-09-19T19:35:55
r_L_1062FNT,val,quad,2026-09-18T20:10:01
r_L_1178HJS,train,quad,2026-09-18T20:23:56
r_L_1391KYW,train,quad,2026-09-18T20:20:11
r_L_1498JBZ,train,quad,2026-09-18T20:23:27
r_L_1556GMZ,train,quad,2026-09-18T20:10:18
r_L_1663FLN,train,quad,2026-09-18T20:17:45
r_L_2272HST,train,quad,2026-09-18T20:23:04
r_L_2335KGY,train,quad,2026-09-18T20:23:09
r_L_2344KJP,val,approved,2026-09-18T20:29:11
r_L_2377HSH,train,approved,2026-09-18T20:28:57
r_L_2643LDS,train,quad,2026-09-18T20:24:18
r_L_2732LRG,train,quad,2026-09-18T20:25:19
r_L_2817LFP,val,quad,2026-09-18T20:25:00
r_L_3017FRG,train,quad,2026-09-18T20:18:42
r_L_3044JMB,train,approved,2026-09-18T20:29:08
r_L_3326HGW,train,approved,2026-09-18T20:29:07
r_L_3340JMF,train,approved,2026-09-18T20:29:08
r_L_3374KBF,val,approved,2026-09-18T20:29:20
r_L_3587DCX,train,quad,2026-09-18T20:09:40
r_L_3587DCX_2,val,quad,2026-09-18T20:22:10
r_L_3616LLF,train,quad,2026-09-18T20:18:16
r_L_3660CRT,train,approved,2026-09-18T20:29:19
r_L_3991KHB,train,quad,2026-09-18T20:11:39
r_L_4142HCF,val,approved,2026-09-18T20:29:02
r_L_4658JDG,train,quad,2026-09-18T20:21:34
r_L_4674FHC,train,approved,2026-09-18T20:29:12
r_L_5275HGY,train,approved,2026-09-18T20:29:23
r_L_5416HML,train,approved,2026-09-18T20:29:05
r_L_5789JHB,train,quad,2026-09-18T20:21:50
r_L_5796DKP,train,quad,2026-09-18T20:17:20
r_L_5817FLW,train,quad,2026-09-18T20:19:59
r_L_5868GJV,train,quad,2026-09-18T20:21:39
r_L_5960CCW,val,approved,2026-09-18T20:29:03
r_L_6000GVT,train,quad,2026-09-18T20:24:39
r_L_6401JBX,train,quad,2026-09-18T20:21:12
r_L_6554BNX,val,quad,2026-09-18T20:11:17
r_L_6929LKK,train,quad,2026-09-18T20:11:04
r_L_7093HWB,train,quad,2026-09-18T20:24:54
r_L_7674LLX,train,approved,2026-09-18T20:29:16
r_L_7982LCD,train,quad,2026-09-18T20:18:27
r_L_8157HVG,train,quad,2026-09-18T20:20:39
r_L_8611LGM,val,quad,2026-09-18T20:25:13
r_L_8727JTC,train,quad,2026-09-18T20:22:04
r_L_8796CKY,val,quad,2026-09-18T20:23:36
