stem,x1,y1,x2,y2,x3,y3,x4,y4
n_F_4970MMG,0.218487,0.633053,0.367647,0.654062,0.368697,0.704482,0.222689,0.676471
n_F_5444DNH,0.324580,0.404762,0.474790,0.441176,0.475840,0.498599,0.326681,0.460784
n_F_5498HTB,0.327731,0.596639,0.528361,0.620448,0.511555,0.707283,0.317227,0.666667
n_F_5748FZB,0.412815,0.467787,0.635504,0.418768,0.634454,0.470588,0.417017,0.526611
n_F_6043NBC,0.101891,0.351541,0.311975,0.354342,0.310924,0.418768,0.107143,0.414566
n_F_6417NLL,0.406513,0.490196,0.580882,0.494398,0.579832,0.547619,0.414916,0.544818
n_F_6641MGK,0.257353,0.354342,0.410714,0.362745,0.409664,0.421569,0.255252,0.407563
n_F_6705LKY,0.129830,0.546218,0.391036,0.568627,0.394127,0.623249,0.122102,0.605042
n_F_6997MKB,0.428571,0.418768,0.616597,0.439776,0.613445,0.495798,0.425420,0.473389
n_F_7248MFV,0.344538,0.387955,0.492647,0.413165,0.490546,0.457983,0.345588,0.435574
n_F_7862NLL,0.533613,0.651261,0.730042,0.670868,0.725840,0.729692,0.533613,0.712885
n_F_7978GMM,0.490546,0.764706,0.723739,0.721289,0.728992,0.782913,0.492647,0.834734
n_F_8155MGL,0.138655,0.551821,0.297269,0.574230,0.294118,0.626050,0.140756,0.605042
n_F_8471DWS,0.474790,0.394958,0.614496,0.427171,0.613445,0.473389,0.472689,0.438375
n_F_8650MYK,0.587185,0.540616,0.825630,0.485994,0.819328,0.551821,0.595588,0.610644
n_F_9129LJY,0.450630,0.362745,0.706933,0.372549,0.698529,0.449580,0.448529,0.441176
n_F_9803LFL,0.346639,0.375350,0.553571,0.411765,0.547269,0.470588,0.347689,0.431373
n_F_9890MXS,0.344538,0.620448,0.516807,0.644258,0.513655,0.697479,0.345588,0.680672
n_L_0009NFF,0.015471,0.651261,0.250352,0.673669,0.254571,0.742297,0.025316,0.717087
n_L_0594GMB,0.578782,0.515406,0.807773,0.526611,0.810924,0.596639,0.580882,0.577031
n_L_0972NBW,0.246849,0.578431,0.398109,0.591036,0.398109,0.644258,0.247899,0.624650
n_L_1576MWT,0.552521,0.471989,0.714286,0.446779,0.716387,0.498599,0.550420,0.516807
n_L_1581KDH,0.641807,0.483193,0.738445,0.442577,0.736345,0.484594,0.640756,0.535014
n_L_2490GXM,0.565126,0.602241,0.751050,0.500000,0.747899,0.571429,0.569328,0.690476
n_L_2785HJB,0.483193,0.694678,0.719538,0.620448,0.716387,0.687675,0.487395,0.768908
n_L_3243HVX,0.362395,0.410364,0.525210,0.448179,0.518908,0.501401,0.363445,0.459384
n_L_3600FYV,0.467437,0.443978,0.595588,0.476190,0.589286,0.522409,0.461134,0.484594
n_L_3758MFC,0.432773,0.432773,0.539916,0.480392,0.537815,0.525210,0.433824,0.474790
n_L_4031MLP,0.437068,0.435574,0.677732,0.443978,0.677732,0.500000,0.428769,0.487395
n_L_4579NKF,0.568277,0.536415,0.724790,0.435574,0.722689,0.501401,0.571429,0.612045
n_L_5241DGG,0.377101,0.343137,0.511555,0.378151,0.507353,0.435574,0.379202,0.392157
n_L_6548GSV,0.535714,0.574230,0.692227,0.533613,0.690126,0.577031,0.535714,0.612045
n_L_6636JCK,0.593487,0.424370,0.727941,0.392157,0.724790,0.432773,0.594538,0.473389
n_L_6703GLW,0.740546,0.476190,0.853992,0.431373,0.847689,0.477591,0.738445,0.528011
n_L_7784JGC,0.695378,0.558824,0.907563,0.507003,0.897059,0.574230,0.692227,0.651261
n_L_8222BLZ,0.236707,0.558824,0.413379,0.570028,0.415094,0.607843,0.240137,0.595238
n_L_8709JKP,0.277311,0.536415,0.435924,0.553221,0.436975,0.605042,0.278361,0.585434
n_L_9080CWT,0.579832,0.530812,0.740546,0.504202,0.732143,0.554622,0.575630,0.577031
r_F_0216KZP,0.364066,0.481793,0.597321,0.515406,0.590229,0.603641,0.369582,0.572829
r_F_3340JMF,0.375099,0.530812,0.650906,0.525210,0.652482,0.627451,0.374310,0.631653
r_F_6499KYF,0.291568,0.616246,0.543735,0.624650,0.548463,0.714286,0.300236,0.707283
r_F_9296FJB,0.254531,0.393557,0.509062,0.413165,0.505910,0.516807,0.262411,0.492997
r_L_0182GLK,0.265563,0.417367,0.486210,0.449580,0.484634,0.567227,0.268716,0.521008
r_L_0664JGR,0.312845,0.481793,0.538219,0.550420,0.534279,0.644258,0.315997,0.574230
r_L_0804FTB,0.185185,0.407563,0.464145,0.481793,0.464145,0.617647,0.189913,0.522409
r_L_1062FNT,0.267139,0.445378,0.458629,0.487395,0.462569,0.586835,0.277384,0.529412
r_L_1178HJS,0.317573,0.378151,0.534279,0.429972,0.531915,0.523810,0.323877,0.466387
r_L_1391KYW,0.301024,0.368347,0.554768,0.422969,0.553191,0.529412,0.303388,0.460784
r_L_1498JBZ,0.208038,0.459384,0.425532,0.498599,0.432624,0.619048,0.209614,0.558824
r_L_1556GMZ,0.252955,0.394958,0.437352,0.422969,0.438928,0.537815,0.249803,0.487395
r_L_1663FLN,0.241135,0.358543,0.469661,0.438375,0.466509,0.551821,0.242711,0.464986
r_L_2272HST,0.330969,0.376751,0.596533,0.435574,0.583924,0.547619,0.334909,0.483193
r_L_2335KGY,0.271868,0.480392,0.516154,0.533613,0.514578,0.644258,0.273444,0.584034
r_L_2643LDS,0.335697,0.462185,0.595745,0.514006,0.595745,0.606443,0.338061,0.550420
r_L_2732LRG,0.377463,0.443978,0.635146,0.485994,0.631994,0.596639,0.379827,0.547619
r_L_2817LFP,0.288416,0.410364,0.604413,0.459384,0.607565,0.577031,0.297084,0.518207
r_L_3017FRG,0.346730,0.396359,0.583136,0.463585,0.581560,0.565826,0.342002,0.494398
r_L_3587DCX,0.231678,0.429972,0.450749,0.502801,0.453901,0.621849,0.236407,0.539216
r_L_3587DCX_2,0.225374,0.337535,0.479117,0.361345,0.476753,0.514006,0.234043,0.462185
r_L_3616LLF,0.275020,0.436975,0.464933,0.500000,0.460205,0.595238,0.275020,0.516807
r_L_3991KHB,0.327817,0.494398,0.547675,0.540616,0.545311,0.627451,0.329393,0.577031
r_L_4658JDG,0.318361,0.385154,0.535067,0.434174,0.536643,0.526611,0.327817,0.478992
r_L_5789JHB,0.267139,0.414566,0.475965,0.442577,0.473601,0.571429,0.270292,0.521008
r_L_5796DKP,0.215918,0.463585,0.427108,0.505602,0.418440,0.634454,0.219858,0.568627
r_L_5817FLW,0.256895,0.464986,0.547675,0.549020,0.549251,0.652661,0.263987,0.572829
r_L_5868GJV,0.217494,0.411765,0.516942,0.478992,0.512214,0.606443,0.224586,0.530812
r_L_6000GVT,0.145784,0.471989,0.415288,0.502801,0.408983,0.638655,0.144208,0.593838
r_L_6401JBX,0.134752,0.501401,0.363278,0.532213,0.360126,0.665266,0.134752,0.605042
r_L_6554BNX,0.144996,0.369748,0.386919,0.392157,0.394799,0.550420,0.154452,0.491597
r_L_6929LKK,0.132388,0.361345,0.356974,0.385154,0.362490,0.522409,0.141844,0.473389
r_L_7093HWB,0.286840,0.375350,0.552403,0.418768,0.551615,0.540616,0.298660,0.501401
r_L_7982LCD,0.250591,0.406162,0.476753,0.480392,0.474389,0.584034,0.257683,0.504202
r_L_8157HVG,0.275020,0.380952,0.552403,0.474790,0.540583,0.586835,0.275020,0.488796
r_L_8611LGM,0.312057,0.421569,0.553191,0.466387,0.556344,0.557423,0.312057,0.518207
r_L_8727JTC,0.306541,0.484594,0.501970,0.508403,0.500394,0.612045,0.304177,0.574230
r_L_8796CKY,0.311269,0.526611,0.542159,0.571429,0.538219,0.656863,0.316785,0.607843
